CountryCode,Government,PaymentType,UnitMeasure,Volume,ValuationMethod,Currency,Amount,CompanyName,CompanyNumber,Notes,ReportName,ReportEndDate,Version,ReportNotes,FilingDate
MYS,PETROLIAM NASIONAL BERHAD,ProductionEntitlements,KBOE,9563,Market price,USD,482567042,ROYAL DUTCH SHELL PLC,04366849,"Payment in Kind for 9,563 KBOE valued at market price",Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
MYS,PETROLIAM NASIONAL BERHAD,Royalties,KBOE,0,Not assigned,USD,140732278,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
MYS,PETRONAS CARIGALI SDN BHD (KL),ProductionEntitlements,KBOE,41435,Fixed price,USD,884382103,ROYAL DUTCH SHELL PLC,04366849,"Payment in Kind for 41,435 KBOE valued at fixed price",Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
MYS,PETRONAS CARIGALI SDN BHD (KL),ProductionEntitlements,KBOE,10333,Market price,USD,565725964,ROYAL DUTCH SHELL PLC,04366849,"Payment in Kind for 10,333 KBOE valued at market price",Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
MYS,PETRONAS CARIGALI SDN BHD (KL),Tax,KBOE,0,Not assigned,USD,3482445,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
PHL,PNOC EXPLORATION CORPORATION,ProductionEntitlements,KBOE,0,Not assigned,USD,92466143,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,PROVINCIAL TREASURER OF ALBERTA,Fees,KBOE,0,Not assigned,USD,26204584,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
QAT,QATAR PETROLEUM,ProductionEntitlements,KBOE,0,Not assigned,USD,452582830,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
QAT,QATAR PETROLEUM,Tax,KBOE,0,Not assigned,USD,520599000,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
QAT,RAS LAFFAN INDUSTRIAL CITY,Fees,KBOE,0,Not assigned,USD,16475980,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,RECEIVER GENERAL FOR CANADA,Fees,KBOE,0,Not assigned,USD,3308335,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,RECEIVER GENERAL FOR CANADA,Royalties,KBOE,0,Not assigned,USD,9732667,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,RECEIVER GENERAL FOR CANADA,Tax,KBOE,0,Not assigned,USD,2811449,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
DNK,TAX AUTHORITIES,Tax,KBOE,0,Not assigned,USD,545571528,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NOR,SKATTE OG AVGIFTSREGNSKAP,Tax,KBOE,0,Not assigned,USD,1135199247,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NOR,SKATTEOPPKREVEREN I SOLA,Tax,KBOE,0,Not assigned,USD,2153200,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
IRQ,SOUTH OIL COMPANY,ProductionEntitlements,KBOE,30844,Market price,USD,1335946438,ROYAL DUTCH SHELL PLC,04366849,"Payment in Kind for 30,844 KBOE valued at market price",Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
IRQ,SOUTH OIL COMPANY,Tax,KBOE,485,Market price,USD,23303080,ROYAL DUTCH SHELL PLC,04366849,Payment in Kind for 485 KBOE valued at market price,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,STATE OF LOUISIANA,Tax,KBOE,0,Not assigned,USD,-9759083,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,STATE OF PENNSYLVANIA,Tax,KBOE,0,Not assigned,USD,220000,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,STATE OF TEXAS,Royalties,KBOE,0,Not assigned,USD,13941794,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,STATE OF TEXAS,Tax,KBOE,0,Not assigned,USD,8395241,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,STATE OF WYOMING,Tax,KBOE,0,Not assigned,USD,19407697,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
NOR,STATOIL ASA,ProductionEntitlements,KBOE,27632,Market price,USD,1115666182,ROYAL DUTCH SHELL PLC,04366849,"Payment in Kind for 27,632 KBOE valued at market price",Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
DEU,TAX AUTHORITIES HAMBURG,Tax,KBOE,0,Not assigned,USD,4404123,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
CAN,SUCKER CREEK FIRST NATION,Fees,KBOE,0,Not assigned,USD,243922,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
USA,SUSQUEHANNA RIVER BASIN COMMISSION,Fees,KBOE,0,Not assigned,USD,758579,ROYAL DUTCH SHELL PLC,04366849,,Extractive Industry Reporting,2015-12-31,1,,18 Apr 2016
